dateTime,value
2024-12-10 00:00:00, 
2024-12-10 00:05:00, 366.192382812
2024-12-10 00:15:00, 366.191497803
2024-12-10 00:25:00, 366.197784424
2024-12-10 00:35:00, 366.1980896
2024-12-10 00:45:00, 366.20098877
2024-12-10 00:55:00, 366.206390381
2024-12-10 01:05:00, 366.206085205
2024-12-10 01:15:00, 366.212188721
2024-12-10 01:25:00, 366.212890625
2024-12-10 01:35:00, 366.217590332
2024-12-10 01:45:00, 366.214385986
2024-12-10 01:55:00, 366.210998535
2024-12-10 02:05:00, 366.216186523
2024-12-10 02:15:00, 366.214691162
2024-12-10 02:25:00, 366.218200684
2024-12-10 02:35:00, 366.211791992
2024-12-10 02:45:00, 366.210083008
2024-12-10 02:55:00, 366.211181641
2024-12-10 03:05:00, 366.210784912
2024-12-10 03:15:00, 366.214477539
2024-12-10 03:25:00, 366.212585449
2024-12-10 03:35:00, 366.208404541
2024-12-10 03:45:00, 366.21270752
2024-12-10 03:55:00, 366.210784912
2024-12-10 04:05:00, 366.211791992
2024-12-10 04:15:00, 366.208892822
2024-12-10 04:25:00, 366.210205078
2024-12-10 04:35:00, 366.210601807
2024-12-10 04:45:00, 366.207092285
2024-12-10 04:55:00, 366.210296631
2024-12-10 05:05:00, 366.205200195
2024-12-10 05:15:00, 366.204193115
2024-12-10 05:25:00, 366.205383301
2024-12-10 05:35:00, 366.205596924
2024-12-10 05:45:00, 366.196685791
2024-12-10 05:55:00, 366.203186035
2024-12-10 06:05:00, 366.198181152
2024-12-10 06:15:00, 366.198608398
2024-12-10 06:25:00, 366.193878174
2024-12-10 06:35:00, 366.191101074
2024-12-10 06:45:00, 366.190795898
2024-12-10 06:55:00, 366.191894531
2024-12-10 07:05:00, 366.195587158
2024-12-10 07:15:00, 366.18838501
2024-12-10 07:25:00, 366.186004639
2024-12-10 07:35:00, 366.185089111
2024-12-10 07:45:00, 366.180999756
2024-12-10 07:55:00, 366.175292969
2024-12-10 08:05:00, 366.17578125
2024-12-10 08:15:00, 366.176879883
2024-12-10 08:25:00, 366.178588867
2024-12-10 08:35:00, 366.183807373
2024-12-10 08:45:00, 366.195800781
2024-12-10 08:55:00, 366.200592041
2024-12-10 09:05:00, 366.201477051
2024-12-10 09:15:00, 366.201293945
2024-12-10 09:25:00, 366.19519043
2024-12-10 09:35:00, 366.196990967
2024-12-10 09:45:00, 366.184082031
2024-12-10 09:55:00, 366.180480957
2024-12-10 10:05:00, 366.178497314
2024-12-10 10:15:00, 366.173187256
2024-12-10 10:25:00, 366.170379639
2024-12-10 10:35:00, 366.167907715
2024-12-10 10:45:00, 366.173583984
2024-12-10 10:55:00, 366.167297363
2024-12-10 11:05:00, 366.170196533
2024-12-10 11:15:00, 366.169281006
2024-12-10 11:25:00, 366.166595459
2024-12-10 11:35:00, 366.164001465
2024-12-10 11:45:00, 366.161682129
2024-12-10 11:55:00, 366.169006348
2024-12-10 12:05:00, 366.162506104
2024-12-10 12:15:00, 366.168395996
2024-12-10 12:25:00, 366.166503906
2024-12-10 12:35:00, 366.168701172
2024-12-10 12:45:00, 366.169799805
2024-12-10 12:55:00, 366.177581787
2024-12-10 13:05:00, 366.18838501
2024-12-10 13:15:00, 366.193481445
2024-12-10 13:25:00, 366.192077637
2024-12-10 13:35:00, 366.196990967
2024-12-10 13:45:00, 366.196899414
2024-12-10 13:55:00, 366.19140625
2024-12-10 14:05:00, 366.193878174
2024-12-10 14:15:00, 366.188293457
2024-12-10 14:25:00, 366.185089111
2024-12-10 14:35:00, 366.185394287
2024-12-10 14:45:00, 366.179077148
2024-12-10 14:55:00, 366.178100586
2024-12-10 15:05:00, 366.182891846
2024-12-10 15:15:00, 366.176483154
2024-12-10 15:25:00, 366.172393799
2024-12-10 15:35:00, 366.171386719
2024-12-10 15:45:00, 366.170501709
2024-12-10 15:55:00, 366.170593262
2024-12-10 16:05:00, 366.164093018
2024-12-10 16:15:00, 366.169281006
2024-12-10 16:25:00, 366.172607422
2024-12-10 16:35:00, 366.168487549
2024-12-10 16:45:00, 366.164398193
2024-12-10 16:55:00, 366.171691895
2024-12-10 17:05:00, 366.166778564
2024-12-10 17:15:00, 366.171600342
2024-12-10 17:25:00, 366.17098999
2024-12-10 17:35:00, 366.17779541
2024-12-10 17:45:00, 366.17578125
2024-12-10 17:55:00, 366.175598145
2024-12-10 18:05:00, 366.17578125
2024-12-10 18:15:00, 366.181182861
2024-12-10 18:25:00, 366.178985596
2024-12-10 18:35:00, 366.178283691
2024-12-10 18:45:00, 366.183898926
2024-12-10 18:55:00, 366.181396484
2024-12-10 19:05:00, 366.186096191
2024-12-10 19:15:00, 366.18460083
2024-12-10 19:25:00, 366.194793701
2024-12-10 19:35:00, 366.189697266
2024-12-10 19:45:00, 366.191589355
2024-12-10 19:55:00, 366.198303223
2024-12-10 20:05:00, 366.191680908
2024-12-10 20:15:00, 366.194396973
2024-12-10 20:25:00, 366.194091797
2024-12-10 20:35:00, 366.19720459
2024-12-10 20:45:00, 366.192596436
2024-12-10 20:55:00, 366.194885254
2024-12-10 21:05:00, 366.194488525
2024-12-10 21:15:00, 366.193878174
2024-12-10 21:25:00, 366.193695068
2024-12-10 21:35:00, 366.193878174
2024-12-10 21:45:00, 366.19128418
2024-12-10 21:55:00, 366.198608398
2024-12-10 22:05:00, 366.19039917
2024-12-10 22:15:00, 366.18939209
2024-12-10 22:25:00, 366.187286377
2024-12-10 22:35:00, 366.185180664
2024-12-10 22:45:00, 366.188781738
2024-12-10 22:55:00, 366.180389404
