dateTime,value
2024-12-10 00:00:00, 
2024-12-10 00:05:00, 333.642913818
2024-12-10 00:15:00, 333.670715332
2024-12-10 00:25:00, 333.672210693
2024-12-10 00:35:00, 333.656799316
2024-12-10 00:45:00, 333.673522949
2024-12-10 00:55:00, 333.667114258
2024-12-10 01:05:00, 333.671905518
2024-12-10 01:15:00, 333.677001953
2024-12-10 01:25:00, 333.669708252
2024-12-10 01:35:00, 333.650695801
2024-12-10 01:45:00, 333.666107178
2024-12-10 01:55:00, 333.653198242
2024-12-10 02:05:00, 333.663513184
2024-12-10 02:15:00, 333.667816162
2024-12-10 02:25:00, 333.670196533
2024-12-10 02:35:00, 333.654907227
2024-12-10 02:45:00, 333.652923584
2024-12-10 02:55:00, 333.651519775
2024-12-10 03:05:00, 333.658905029
2024-12-10 03:15:00, 333.659698486
2024-12-10 03:25:00, 333.63482666
2024-12-10 03:35:00, 333.658111572
2024-12-10 03:45:00, 333.661804199
2024-12-10 03:55:00, 333.645812988
2024-12-10 04:05:00, 333.636108398
2024-12-10 04:15:00, 333.639526367
2024-12-10 04:25:00, 333.644317627
2024-12-10 04:35:00, 333.641815186
2024-12-10 04:45:00, 333.638000488
2024-12-10 04:55:00, 333.632202148
2024-12-10 05:05:00, 333.62890625
2024-12-10 05:15:00, 333.646911621
2024-12-10 05:25:00, 333.64151001
2024-12-10 05:35:00, 333.613616943
2024-12-10 05:45:00, 333.625823975
2024-12-10 05:55:00, 333.636505127
2024-12-10 06:05:00, 333.604125977
2024-12-10 06:15:00, 333.625915527
2024-12-10 06:25:00, 333.624298096
2024-12-10 06:35:00, 333.624420166
2024-12-10 06:45:00, 333.614318848
2024-12-10 06:55:00, 333.613006592
2024-12-10 07:05:00, 333.630310059
2024-12-10 07:15:00, 333.621002197
2024-12-10 07:25:00, 333.613616943
2024-12-10 07:35:00, 333.617401123
2024-12-10 07:45:00, 333.605407715
2024-12-10 07:55:00, 333.613708496
2024-12-10 08:05:00, 333.608825684
2024-12-10 08:15:00, 333.605712891
2024-12-10 08:25:00, 333.607025146
2024-12-10 08:35:00, 333.602020264
2024-12-10 08:45:00, 333.609313965
2024-12-10 08:55:00, 333.615020752
2024-12-10 09:05:00, 333.609802246
2024-12-10 09:15:00, 333.608215332
2024-12-10 09:25:00, 333.640625
2024-12-10 09:35:00, 333.624511719
2024-12-10 09:45:00, 333.629608154
2024-12-10 09:55:00, 333.651397705
2024-12-10 10:05:00, 333.63381958
2024-12-10 10:15:00, 333.64642334
2024-12-10 10:25:00, 333.639923096
2024-12-10 10:35:00, 333.644897461
2024-12-10 10:45:00, 333.647003174
2024-12-10 10:55:00, 333.644226074
2024-12-10 11:05:00, 333.600097656
2024-12-10 11:15:00, 333.648620605
2024-12-10 11:25:00, 333.644500732
2024-12-10 11:35:00, 333.649108887
2024-12-10 11:45:00, 333.640716553
2024-12-10 11:55:00, 333.64440918
2024-12-10 12:05:00, 333.649597168
2024-12-10 12:15:00, 333.642700195
2024-12-10 12:25:00, 333.64730835
2024-12-10 12:35:00, 333.64932251
2024-12-10 12:45:00, 333.632415771
2024-12-10 12:55:00, 333.647125244
2024-12-10 13:05:00, 333.649902344
2024-12-10 13:15:00, 333.640197754
